Date,Open,High,Low,Close,Adj Close,Volume
1/17/2017,55.59,55.810001,55.509998,55.540001,52.000816,2525300
1/18/2017,55.139999,55.299999,54.77,54.84,51.345425,3138600
1/19/2017,54.540001,54.619999,54.130001,54.52,51.045811,3571500
1/20/2017,55,55.099998,54.700001,54.869999,51.373508,2392600
1/23/2017,54.950001,54.959999,54.540001,54.759998,51.270519,3126900
1/24/2017,54.970001,55.41,54.950001,55.360001,51.832287,2536800
1/25/2017,55.650002,55.790001,55.459999,55.650002,52.103806,3760500
1/26/2017,55.150002,55.34,54.849998,55.09,51.579491,2779400
1/27/2017,54.990002,55.040001,54.759998,54.950001,51.448414,3372100
1/30/2017,54.09,54.23,53.549999,53.709999,50.28743,3467200
1/31/2017,54.619999,54.630001,54.02,54.389999,50.924095,4025900
2/1/2017,54.5,54.549999,53.759998,54.27,50.811741,3961600
2/2/2017,55.110001,55.150002,54.200001,54.57,51.092628,4927800
2/3/2017,54.869999,55.220001,54.709999,54.970001,51.46714,3513300
2/6/2017,54.299999,54.52,54.130001,54.290001,50.830471,4071200
2/7/2017,53.98,54.080002,53.41,53.669998,50.249977,4212700
2/8/2017,52.889999,53.27,52.529999,53.18,49.791203,4179800
2/9/2017,53.18,53.91,53.18,53.709999,50.28743,3468100
2/10/2017,54.040001,54.349998,54.02,54.189999,50.736839,3348700
2/13/2017,54.389999,54.549999,54.25,54.439999,50.970909,3780700
2/14/2017,54.599998,54.669998,54.009998,54.450001,50.980274,3371700
2/15/2017,53.02,53.41,52.98,53.369999,50.846893,2984900
2/16/2017,53.349998,53.509998,52.900002,52.959999,50.456276,4768900
2/17/2017,52.330002,52.490002,52.040001,52.200001,49.732204,3908200
2/21/2017,52.23,52.619999,52.16,52.490002,50.008499,8704400
2/22/2017,51.889999,52.380001,51.779999,51.98,49.522606,4247600
2/23/2017,52.549999,52.68,52.209999,52.48,49.998966,4452200
2/24/2017,51.709999,51.950001,51.540001,51.720001,49.274899,2468300
2/27/2017,51.75,52.049999,51.75,51.880001,49.427334,2843700
2/28/2017,51.740002,51.959999,51.639999,51.889999,49.436859,2699300
3/1/2017,52.139999,52.48,52.130001,52.349998,49.875111,3109900
3/2/2017,52.330002,52.5,52.23,52.23,49.760788,2224300
3/3/2017,52.299999,52.650002,52.27,52.459999,49.979912,2397600
3/6/2017,52.290001,52.700001,52.18,52.689999,50.199039,2251000
3/7/2017,52.580002,52.669998,52.369999,52.450001,49.970387,2469800
3/8/2017,51.950001,52.009998,51.049999,51.049999,48.63657,4163800
3/9/2017,50.43,51.349998,50.32,51.34,48.912865,4537400
3/10/2017,51.98,52.009998,51.439999,51.740002,49.293953,3718200
3/13/2017,51.939999,52.16,51.810001,51.990002,49.532135,3963600
3/14/2017,51.419998,51.43,50.75,50.950001,48.541298,3848000
3/15/2017,51.41,52.139999,51.240002,52.080002,49.617882,3276900
3/16/2017,52.650002,52.650002,52.220001,52.419998,49.941803,3299700
3/17/2017,52.900002,52.950001,52.66,52.700001,50.208565,2668700
3/20/2017,52.599998,52.610001,52.200001,52.41,49.932274,2885500
3/21/2017,52.950001,53,52.48,52.73,50.237148,2924100
3/22/2017,52.209999,52.73,52.02,52.549999,50.065659,2836600
3/23/2017,52.299999,52.700001,52.23,52.459999,49.979912,2241500
3/24/2017,52.119999,52.27,52.02,52.060001,49.598827,2831100
3/27/2017,52.119999,52.439999,52.009998,52.27,49.798897,2657700
3/28/2017,52.540001,53.07,52.459999,52.849998,50.351471,3235300
3/29/2017,52.41,53.27,52.389999,53.23,50.713509,3556200
3/30/2017,53.290001,53.330002,52.970001,53,50.494385,2787300
3/31/2017,52.740002,52.860001,52.57,52.73,50.237148,1923700
4/3/2017,52.599998,52.68,51.799999,52.360001,49.88464,2830200
4/4/2017,52.34,52.889999,52.07,52.849998,50.351471,5152200
4/5/2017,53.169998,53.52,52.619999,52.650002,50.160934,4335200
4/6/2017,52.880001,53.290001,52.830002,53.099998,50.589653,2756800
4/7/2017,53.150002,53.529999,53.099998,53.27,50.751621,3125500
4/10/2017,53.09,53.52,53.09,53.419998,50.894527,2416600
4/11/2017,53.560001,53.759998,53.099998,53.709999,51.170818,2806400
4/12/2017,53.580002,53.759998,53.259998,53.439999,50.913578,2661200
4/13/2017,52.900002,52.959999,52.330002,52.41,49.932274,4455000
4/17/2017,52.580002,52.959999,52.5,52.939999,50.437218,2437200
4/18/2017,52.380001,52.66,52.27,52.459999,49.979912,3513900
4/19/2017,52.009998,52.139999,51.099998,51.209999,48.789005,5458000
4/20/2017,51.529999,51.700001,51.310001,51.310001,48.884281,3879500
4/21/2017,51.16,51.560001,51.080002,51.41,48.979557,2947200
4/24/2017,52.41,52.450001,52.139999,52.27,49.798897,3626600
4/25/2017,52.68,52.790001,52.509998,52.75,50.256207,4037700
4/26/2017,52.580002,53,52.400002,52.400002,49.922752,4177100
4/27/2017,52.23,52.23,51.689999,52.130001,49.665516,3869900
4/28/2017,52.16,52.380001,51.950001,52.189999,49.722679,3376100
5/1/2017,52.279999,52.400002,52,52,49.54166,2036300
5/2/2017,52.18,52.32,51.849998,51.939999,49.484497,3740700
5/3/2017,51.970001,52.5,51.869999,52.279999,49.808422,4300200
5/4/2017,52.66,52.75,52.09,52.68,50.189514,6326200
5/5/2017,52.93,54.240002,52.91,54.23,51.666233,5544800
5/8/2017,54.34,54.599998,54,54.48,51.904415,4309400
5/9/2017,54.48,54.799999,54.119999,54.169998,51.60907,3845600
5/10/2017,54.689999,55.209999,54.639999,54.93,52.333141,4232100
5/11/2017,55.029999,55.240002,54.790001,54.970001,52.37125,4359300
5/12/2017,55,55.41,54.91,55.310001,52.695175,4005800
5/15/2017,56.099998,56.139999,55.549999,55.650002,53.019104,3012400
5/16/2017,56.16,56.259998,55.91,56.16,53.504993,3577200
5/17/2017,55.330002,55.869999,55.209999,55.209999,53.4953,3865500
5/18/2017,54.93,55.259998,54.73,55.049999,53.340271,3537800
5/19/2017,55.330002,55.560001,55.23,55.490002,53.766609,2938800
5/22/2017,55.650002,55.66,55.029999,55.27,53.55344,2479800
5/23/2017,55.380001,55.490002,55.080002,55.16,53.446854,2119000
5/24/2017,54.84,55.27,54.830002,55.029999,53.320892,2714200
5/25/2017,54.73,55.18,54.220001,54.349998,52.662014,3514000
5/26/2017,54.439999,54.599998,54.279999,54.41,52.720146,2356500
5/30/2017,54.57,54.810001,54.439999,54.52,52.826733,2537500
5/31/2017,54.439999,54.619999,54.240002,54.41,52.720146,2251300
6/1/2017,54.240002,54.68,54.189999,54.450001,52.758907,2133100
6/2/2017,54.189999,54.200001,53.740002,53.970001,52.293816,2396400
6/5/2017,53.98,54.369999,53.900002,54.23,52.545738,1874600
6/6/2017,53.869999,54.5,53.830002,54.380001,52.691082,2138200
6/7/2017,54.279999,54.419998,53.369999,53.709999,52.041889,2831400
6/8/2017,53.439999,53.549999,53.259998,53.450001,51.789963,3407000
6/9/2017,53.380001,54.029999,53.310001,53.869999,52.196922,2751500
6/12/2017,54.450001,54.650002,54.09,54.09,52.410088,3773600
6/13/2017,54.330002,54.52,54.139999,54.5,52.807354,2444700
6/14/2017,54.639999,54.66,53.689999,53.790001,52.119408,2987100
6/15/2017,53,53.25,52.91,53.099998,51.450832,3549700
6/16/2017,53.77,54.48,53.669998,54.450001,52.758907,2667800
6/19/2017,54.450001,54.610001,54.049999,54.130001,52.448845,1942600
6/20/2017,53.209999,53.23,52.66,52.93,51.286118,4875400
6/21/2017,52.68,52.709999,52.009998,52.23,50.607853,5498000
6/22/2017,52,52.459999,51.91,52.240002,50.617546,2616900
6/23/2017,52.450001,52.779999,52.349998,52.610001,50.976055,1972600
6/26/2017,52.959999,53,52.459999,52.459999,50.830711,3161300
6/27/2017,53.220001,53.639999,53.049999,53.27,51.615555,3253200
6/28/2017,53.57,53.889999,53.450001,53.650002,51.983753,3428400
6/29/2017,53.77,53.84,53.139999,53.189999,51.538036,2978700
6/30/2017,53.279999,53.32,52.860001,53.189999,51.538036,2387700
7/3/2017,53.41,53.880001,53.41,53.669998,52.003128,1702900
7/5/2017,53.349998,53.360001,52.799999,52.91,51.266735,3215400
7/6/2017,53.060001,53.560001,52.950001,53.099998,51.450832,3303600
7/7/2017,52.919998,53.02,52.439999,52.939999,51.295799,3315100
7/10/2017,52.639999,52.939999,52.599998,52.799999,51.160152,2316300
7/11/2017,52.619999,53.060001,52.48,53.029999,51.383007,2225400
7/12/2017,53.66,53.939999,53.41,53.48,51.819031,2725500
7/13/2017,53.5,53.509998,53.23,53.48,51.819031,2421500
7/14/2017,54.150002,54.23,53.720001,53.75,52.080647,3047900
7/17/2017,53.849998,54.029999,53.57,53.630001,51.964378,2400100
7/18/2017,54.099998,54.099998,53.740002,53.98,52.303501,2970400
7/19/2017,53.84,54.119999,53.790001,54.049999,52.37133,3482400
7/20/2017,54.529999,54.630001,54.290001,54.34,52.652325,5593400
7/21/2017,54.560001,54.610001,53.939999,54.060001,52.38102,4069700
7/24/2017,54.029999,54.029999,53.639999,53.91,52.235676,3256000
7/25/2017,54.689999,54.830002,54.290001,54.369999,52.681389,2388000
7/26/2017,54.799999,54.869999,54.52,54.52,52.826733,3245900
7/27/2017,55.240002,55.299999,54.849998,55.279999,53.563129,2677400
7/28/2017,55.279999,55.970001,55.25,55.740002,54.008846,2808900
7/31/2017,56.360001,56.84,56.169998,56.529999,54.774303,4270500
8/1/2017,56.610001,56.93,56.5,56.799999,55.035919,3774300
8/2/2017,56.869999,57.529999,56.810001,57.380001,55.597908,3171000
8/3/2017,57.360001,57.450001,56.939999,57.040001,55.268467,2219600
8/4/2017,57.27,57.369999,56.939999,57.34,55.559151,1983200
8/7/2017,57.380001,57.450001,57.200001,57.380001,55.597908,2291400
8/8/2017,57.639999,57.75,57.209999,57.25,55.471943,2939700
8/9/2017,56.509998,56.810001,56.450001,56.77,55.925102,2552700
8/10/2017,56.57,56.639999,55.919998,56,55.166561,2678600
8/11/2017,55.580002,55.779999,55.459999,55.639999,54.811916,2422900
8/14/2017,55.52,55.82,55.189999,55.200001,54.378468,2244700
8/15/2017,54.950001,55.169998,54.59,55.060001,54.240551,2457000
8/16/2017,55.060001,55.220001,54.59,54.75,53.935162,2510800
8/17/2017,54.740002,54.91,54.459999,54.5,53.688885,4040700
8/18/2017,54.41,54.830002,54.27,54.650002,53.836655,3860000
8/21/2017,54.709999,54.709999,54.299999,54.32,53.511562,2429400
8/22/2017,54.73,54.799999,54.540001,54.720001,53.905609,3360000
8/23/2017,54.52,55.220001,54.5,55.200001,54.378468,3956800
8/24/2017,55.099998,55.169998,54.869999,55.099998,54.279953,4333400
8/25/2017,55.240002,55.700001,55.240002,55.669998,54.841469,2725900
8/28/2017,55.619999,55.630001,55.290001,55.439999,54.614891,2488600
8/29/2017,55.07,55.509998,55.040001,55.439999,54.614891,2238600
8/30/2017,55.099998,55.389999,55.060001,55.169998,54.348911,4247800
8/31/2017,54.98,55.279999,54.869999,55.18,54.358765,2616500
9/1/2017,55.110001,55.529999,54.950001,55.349998,54.526234,2331900
9/5/2017,55.5,55.779999,55.450001,55.700001,54.871025,3098400
9/6/2017,55.450001,56.599998,55.450001,56.549999,55.708374,4783700
9/7/2017,56.700001,56.970001,56.689999,56.939999,56.092567,4061800
9/8/2017,56.860001,56.939999,56.41,56.549999,55.708374,2589500
9/11/2017,56.599998,57,56.540001,56.849998,56.003906,3033300
9/12/2017,56.639999,57.110001,56.630001,56.889999,56.043312,3240100
9/13/2017,57.310001,57.549999,57.119999,57.439999,56.585129,4879800
9/14/2017,57.560001,57.900002,57.43,57.790001,56.92992,3680400
9/15/2017,57.790001,57.790001,57.349998,57.619999,56.762447,3411800
9/18/2017,57.389999,57.66,57.279999,57.459999,56.604832,3540500
9/19/2017,57.970001,58.150002,57.830002,58.139999,57.274712,2583300
