Date,Open,High,Low,Close,Volumn,Adj Close
9/12/2012,158.829,159.005,158.29,158.829,96367700,158.829
9/11/2012,157.96,158.807,157.916,158.301,97511920,158.301
9/10/2012,158.609,158.884,157.916,157.861,95104350,157.861
9/7/2012,158.411,158.829,158.268,158.763,117999310,158.763
9/6/2012,155.936,158.158,155.925,158.147,174099750,158.147
9/5/2012,155.199,155.617,154.693,155.001,110726330,155.001
9/4/2012,155.144,155.606,154.143,155.133,132248820,155.133
8/31/2012,155.419,156.002,154.396,155.276,167167440,155.276
8/30/2012,154.99,155.034,154.209,154.539,106248890,154.539
8/29/2012,155.672,156.079,155.232,155.661,71963430,155.661
8/28/2012,155.298,156.024,155.067,155.54,83258560,155.54
8/27/2012,156.079,156.288,155.474,155.694,75664490,155.694
8/24/2012,154.341,156.013,154.242,155.661,109429320,155.661
8/23/2012,155.617,155.628,154.484,154.726,122613040,154.726
8/22/2012,155.54,156.255,155.177,156.002,146567850,156.002
