Date,Open,High,Low,Close,Adj Close,Volume
1/17/2017,,,,,,
1/18/2017,,,,,,
1/19/2017,,,,,,
1/20/2017,,,,,,
1/23/2017,,,,,,
1/24/2017,,,,,,
1/25/2017,,,,,,
1/26/2017,,,,,,
1/27/2017,,,,,,
1/30/2017,,,,,,
1/31/2017,,,,,,
2/1/2017,,,,,,
2/2/2017,,,,,,
2/3/2017,,,,,,
2/6/2017,,,,,,
2/7/2017,,,,,,
2/8/2017,,,,,,
2/9/2017,,,,,,
2/10/2017,,,,,,
2/13/2017,,,,,,
2/14/2017,,,,,,
2/15/2017,,,,,,
2/16/2017,,,,,,
2/17/2017,,,,,,
2/21/2017,,,,,,
2/22/2017,,,,,,
2/23/2017,81.419998,82.220001,81.029999,81.779999,79.501457,13847000
2/24/2017,81.599998,81.800003,80.760002,81.080002,78.820969,11338700
2/27/2017,81.129997,81.709999,80.809998,81.540001,79.26815,13465900
2/28/2017,81.529999,81.989998,81.050003,81.32,79.054276,16834200
3/1/2017,81.699997,83.330002,81.699997,83.019997,80.706909,17482100
3/2/2017,82.800003,84.25,82.790001,83.300003,80.979118,14170300
3/3/2017,83.300003,83.599998,82.260002,82.459999,80.162514,12190400
3/6/2017,82.440002,82.900002,82.330002,82.830002,80.522209,9617200
3/7/2017,83.110001,83.290001,82.139999,82.519997,80.220833,12711500
3/8/2017,82.349998,82.379997,81.010002,81.029999,78.772362,16817700
3/9/2017,80.639999,81.720001,80.309998,81.669998,79.394524,14721800
3/10/2017,82.440002,82.470001,81.160004,81.610001,79.336205,11355200
3/13/2017,81.5,81.940002,81.050003,81.419998,79.151489,9571400
3/14/2017,81,81.230003,80.440002,80.989998,78.733467,11335700
3/15/2017,81.349998,82.059998,81.050003,82,79.715332,11970300
3/16/2017,82.029999,82.199997,81.669998,82.07,79.783379,9923800
3/17/2017,82.029999,82.260002,81.82,82,79.715332,18834100
3/20/2017,81.720001,82.040001,81.440002,82,79.715332,7700300
3/21/2017,82.160004,82.349998,81.599998,81.830002,79.550064,13387700
3/22/2017,81.959999,82.089996,81.43,81.760002,79.482025,11168400
3/23/2017,81.629997,82.220001,81.459999,81.860001,79.579231,8928000
3/24/2017,82.029999,82.029999,81.150002,81.230003,78.966789,9128500
3/27/2017,80.82,81.43,80.790001,81.25,78.986221,8481200
3/28/2017,81.32,82.019997,80.959999,81.839996,79.559784,11028600
3/29/2017,81.690002,82.279999,81.550003,82.019997,79.734772,8495500
3/30/2017,82.029999,83.870003,81.940002,83.699997,81.367958,44704900
3/31/2017,83.260002,83.309998,81.860001,82.010002,79.725052,21750400
4/3/2017,82.019997,82.309998,81.349998,82.07,79.783379,11438700
4/4/2017,82.099998,82.419998,81.330002,82.370003,80.07502,9270900
4/5/2017,82.849998,83.550003,82.470001,82.529999,80.230568,13809100
4/6/2017,82.75,83.209999,82.459999,83.010002,80.697189,9554900
4/7/2017,83.239998,83.360001,82.68,82.760002,80.454155,8909600
4/10/2017,83.120003,83.470001,82.919998,83.129997,80.813843,8885300
4/11/2017,83.080002,83.169998,82.419998,82.839996,80.531921,8576500
4/12/2017,82.860001,83.349998,82.699997,82.970001,80.658302,9516100
4/13/2017,82.720001,82.730003,81.57,81.690002,79.413971,8667900
4/17/2017,81.849998,81.970001,81.440002,81.580002,79.307037,9577200
4/18/2017,81.32,81.82,81.029999,81.050003,78.791801,8821400
